name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
Tata Nexon,2019,203600.0,110669,Diesel,Individual,Manual,Third Owner,23.93 kmpl,1408 CC,92.94 bhp,115Nm@ 3824rpm,4
Maruti Swift,2016,139900.0,100777,Diesel,Individual,Automatic,First Owner,18.72 kmpl,944 CC,48.48 bhp,148Nm@ 2146rpm,5
Ford Ecosport,2013,135800.0,90977,Petrol,Individual,Manual,First Owner,18.48 kmpl,1257 CC,63.12 bhp,316Nm@ 3000rpm,5
Hyundai i20,2016,101900.0,125846,Diesel,Individual,Manual,First Owner,20.44 kmpl,700 CC,51.58 bhp,69Nm@ 1879rpm,7
BMW 3 Series,2019,710800.0,22351,Diesel,Individual,Manual,Second Owner,9.9 kmpl,2795 CC,279.55 bhp,189Nm@ 1700rpm,7
Skoda Octavia,2016,219100.0,83228,Diesel,Individual,Manual,Second Owner,18.09 kmpl,1292 CC,120.29 bhp,208Nm@ 2002rpm,5
Tata Nexon,2013,192900.0,90479,Diesel,Individual,Automatic,First Owner,20.36 kmpl,1451 CC,90.14 bhp,202Nm@ 2040rpm,5
Toyota Innova,2017,253000.0,88574,Diesel,Trustmark Dealer,Manual,Second Owner,17.01 kmpl,1465 CC,121.86 bhp,155Nm@ 3029rpm,5
Tata Nexon,2011,100000.0,110963,Petrol,Individual,Manual,First Owner,20.74 kmpl,1118 CC,62.69 bhp,84Nm@ 2163rpm,5
Mahindra XUV500,2013,136400.0,88804,Diesel,Individual,Manual,Second Owner,18.56 kmpl,1111 CC,92.07 bhp,236Nm@ 2576rpm,5
Audi A4,2010,251800.0,150855,Petrol,Individual,Manual,First Owner,10.55 kmpl,2981 CC,280.88 bhp,90Nm@ 3294rpm,5
Toyota Innova,2008,93800.0,132320,Diesel,Dealer,Manual,Second Owner,17.19 kmpl,1538 CC,114.73 bhp,103Nm@ 3698rpm,5
Audi A4,2007,136100.0,114103,LPG,Individual,Manual,Fourth & Above Owner,12.43 kmpl,2712 CC,267.52 bhp,113Nm@ 3182rpm,7
Honda City,2005,54600.0,120199,Diesel,Dealer,Manual,First Owner,20.05 kmpl,1151 CC,70.71 bhp,160Nm@ 2456rpm,4
BMW 3 Series,2008,189900.0,97886,Diesel,Dealer,Manual,Third Owner,16.36 kmpl,2864 CC,288.45 bhp,67Nm@ 3193rpm,5
Mahindra XUV500,2010,79900.0,154753,Petrol,Dealer,Manual,Second Owner,18.28 kmpl,918 CC,92.82 bhp,85Nm@ 2743rpm,7
Ford Ecosport,2010,101500.0,119655,CNG,Trustmark Dealer,Automatic,First Owner,21.58 kmpl,1301 CC,76.3 bhp,162Nm@ 3258rpm,5
Mahindra XUV500,2007,95900.0,105064,Petrol,Trustmark Dealer,Manual,First Owner,19.46 kmpl,1271 CC,101.75 bhp,92Nm@ 3000rpm,7
Audi A4,2007,190600.0,158987,Diesel,Individual,Manual,First Owner,9.69 kmpl,2666 CC,249.69 bhp,60Nm@ 3482rpm,5
Mahindra XUV500,2023,332300.0,153013,Diesel,Individual,Manual,First Owner,13.4 kmpl,1105 CC,109.67 bhp,243Nm@ 1504rpm,5
Tata Nexon,2008,78700.0,118300,Diesel,Dealer,Manual,First Owner,20.67 kmpl,1071 CC,74.14 bhp,98Nm@ 1616rpm,5
